,"('arsenic',)","('copper',)","('sulfate',)","('boran',)","('chloride',)","('arsenic', 'copper')","('arsenic', 'sulfate')","('arsenic', 'boran')","('arsenic', 'chloride')","('boran', 'chloride')","('arsenic', 'boran', 'chloride')"
0,2,0,1,1,0,0,1,1,0,0,0
1,7,4,2,7,0,4,2,7,0,0,0
2,6,3,2,5,1,3,2,5,1,1,1
3,3,0,2,1,0,0,2,1,0,0,0
4,4,3,2,2,2,3,2,2,2,2,2
5,4,0,2,1,0,0,2,1,0,0,0
6,3,1,0,2,1,1,0,2,1,1,1
7,2,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,1,1,0,0,0,0
9,3,1,0,1,0,1,0,1,0,0,0
10,2,1,1,0,0,1,1,0,0,0,0
11,4,0,3,4,2,0,3,4,2,2,2
12,3,1,1,2,0,1,1,2,0,0,0
13,4,2,4,4,4,2,4,4,4,4,4
14,7,5,5,7,4,5,5,7,4,4,4
15,1,1,1,0,0,1,1,0,0,0,0
16,1,1,0,1,1,1,0,1,1,1,1
17,2,1,1,2,0,1,1,2,0,0,0
18,5,3,3,4,2,3,3,4,2,2,2
19,9,4,6,6,3,4,6,6,3,3,3
20,5,3,1,4,1,3,1,4,1,1,1
21,2,1,2,1,1,1,2,1,1,1,1
22,4,1,4,4,3,1,3,3,3,3,3
23,2,1,1,2,2,1,1,2,2,2,2
24,3,1,3,3,3,1,3,3,3,3,3
25,4,1,1,4,1,1,1,4,1,1,1
26,1,0,1,1,0,0,1,1,0,0,0
27,11,7,4,11,8,6,4,10,7,7,7
28,8,6,4,5,3,6,4,5,3,3,3
29,8,6,7,8,3,6,7,8,3,3,3
30,1,1,1,1,1,1,1,1,1,1,1
31,3,3,2,2,2,3,2,2,2,2,2
32,4,1,4,1,2,1,4,1,2,1,1
33,1,0,0,0,0,0,0,0,0,0,0
34,5,3,4,5,4,3,4,5,4,4,4
35,5,2,5,5,4,2,5,5,4,4,4
36,8,4,8,8,7,4,8,8,7,7,7
37,5,0,5,5,4,0,5,5,4,4,4
38,1,1,1,1,1,1,1,1,1,1,1
39,2,0,2,2,1,0,2,2,1,1,1
40,6,1,3,6,4,1,3,5,3,3,3
41,14,6,7,9,7,6,7,9,7,5,5
42,10,3,6,6,7,3,6,6,7,6,6
43,2,1,2,2,1,1,2,2,1,1,1
44,5,3,5,5,3,3,5,5,3,3,3
45,5,1,5,5,5,1,5,5,5,5,5
46,2,1,0,2,1,1,0,2,1,1,1
47,2,2,0,2,0,2,0,2,0,0,0
48,3,0,0,3,1,0,0,3,1,1,1
49,8,3,4,7,2,3,4,7,2,2,2
50,7,2,2,5,2,2,2,4,2,2,2
51,1,0,0,1,1,0,0,1,1,1,1
52,4,4,1,1,0,4,1,1,0,0,0
53,5,1,1,3,1,1,1,3,1,1,1
54,6,4,0,3,2,4,0,3,2,2,2
55,2,1,1,2,1,1,1,2,1,1,1
56,2,1,1,2,1,1,1,2,1,1,1
57,6,2,2,3,1,2,2,3,1,1,1
58,7,1,3,5,2,1,2,5,2,1,1
59,8,4,3,7,3,4,3,7,3,3,3
60,1,0,1,0,0,0,1,0,0,0,0
61,6,0,1,5,0,0,1,5,0,0,0
62,9,2,3,8,4,2,3,8,4,4,4
63,11,4,4,10,4,4,3,9,4,4,4
64,4,0,4,3,1,0,4,3,1,1,1
65,1,0,0,1,1,0,0,1,1,1,1
66,1,0,1,0,0,0,1,0,0,0,0
67,2,0,1,0,0,0,1,0,0,0,0
68,7,3,2,6,2,3,2,6,2,2,2
69,12,1,1,3,4,1,1,2,4,2,2
70,2,0,0,2,0,0,0,2,0,0,0
71,2,1,1,2,1,1,1,2,1,1,1
72,13,2,5,10,6,2,5,10,6,6,6
73,13,0,5,10,4,0,5,10,4,4,4
74,13,0,5,7,0,0,5,7,0,0,0
75,1,0,1,1,1,0,1,1,1,1,1
76,1,0,0,0,0,0,0,0,0,0,0
77,3,1,0,0,0,1,0,0,0,0,0
78,6,2,2,2,3,2,1,2,3,2,2
79,3,0,0,2,1,0,0,2,1,1,1
80,2,1,0,0,1,1,0,0,1,0,0
81,4,1,2,2,1,1,2,2,1,1,1
82,3,0,1,0,1,0,1,0,1,0,0
83,1,1,1,0,0,1,1,0,0,0,0
84,1,1,0,1,1,1,0,1,1,1,1
85,2,1,0,0,0,1,0,0,0,0,0
86,3,1,0,3,1,1,0,3,1,1,1
87,3,1,0,2,2,1,0,1,1,1,1
88,1,0,1,1,1,0,1,1,1,1,1
89,3,1,1,3,1,1,1,3,1,1,1
90,3,0,3,1,1,0,3,1,1,1,1
91,3,1,2,2,3,1,2,2,3,2,2
