,"('boron',)","('arsenic', 'boron')","('boron', 'molybdenum')","('boron', 'vanadium')","('arsenic', 'boron', 'molybdenum')","('arsenic', 'boron', 'vanadium')","('boron', 'molybdenum', 'vanadium')","('arsenic', 'boron', 'molybdenum', 'vanadium')","('arsenic',)"
0,5,5,5,5,5,5,5,5,5
1,-2,-2,-2,-2,-2,-2,-2,-2,-1
2,-4,-4,-4,-4,-4,-4,-4,-4,-3
3,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,0
5,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-2,-2,-2,-2,-2,-2,-2,-2,-1
7,0,0,0,0,0,0,0,0,-1
8,2,2,2,2,2,2,2,2,2
9,-2,-2,-2,-2,-2,-2,-2,-2,-1
10,4,4,4,4,4,4,4,4,2
11,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,1,1,1,1,1,1,1,1
13,3,3,3,3,3,3,3,3,3
14,-7,-7,-7,-7,-7,-7,-7,-7,-6
15,1,1,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1,1,1
17,2,2,2,2,2,2,2,2,3
18,2,2,2,2,2,2,2,2,4
19,-2,-2,-2,-2,-2,-2,-2,-2,-4
20,-3,-3,-3,-3,-3,-3,-3,-3,-3
21,3,2,2,2,2,2,2,2,2
22,-2,-1,-1,-1,-1,-1,-1,-1,-2
23,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1
25,-3,-3,-3,-3,-3,-3,-3,-3,-3
26,10,9,9,9,9,9,9,9,10
27,-5,-4,-4,-4,-4,-4,-4,-4,-3
28,2,2,2,2,2,2,2,2,0
29,-7,-7,-7,-7,-7,-7,-7,-7,-7
30,1,1,1,1,1,1,1,1,2
31,-1,-1,-1,-1,-1,-1,-1,-1,1
32,-1,-1,-1,-1,-1,-1,-1,-1,-3
33,5,5,5,5,5,5,5,5,4
34,0,0,0,0,0,0,0,0,0
35,3,3,3,3,3,3,3,3,3
36,-3,-3,-3,-3,-3,-3,-3,-3,-3
37,-4,-4,-4,-4,-4,-4,-4,-4,-4
38,1,1,1,1,1,1,1,1,1
39,4,3,3,3,3,3,3,3,4
40,3,4,4,4,4,4,4,4,8
41,-1,-1,-1,-1,-1,-1,-1,-1,-4
42,-6,-6,-6,-6,-6,-6,-6,-6,-8
43,3,3,3,3,3,3,3,3,3
44,0,0,0,0,0,0,0,0,0
45,-3,-3,-3,-3,-3,-3,-3,-3,-3
46,0,0,0,0,0,0,0,0,0
47,1,1,1,1,1,1,1,1,1
48,4,4,4,4,4,4,4,4,5
49,-2,-3,-3,-3,-3,-3,-3,-3,-1
50,-4,-3,-3,-3,-3,-3,-3,-3,-6
51,0,0,0,0,0,0,0,0,3
52,2,2,2,2,2,2,2,2,1
53,1,1,1,1,1,1,1,1,1
54,-2,-2,-2,-2,-2,-2,-2,-2,-4
55,0,0,0,0,0,0,0,0,0
56,1,1,1,1,1,1,1,1,4
57,3,2,2,2,2,2,2,2,1
58,1,2,2,2,2,2,2,2,1
59,-7,-7,-7,-7,-7,-7,-7,-7,-7
60,5,5,5,5,5,5,5,5,5
61,3,3,3,3,3,3,3,3,3
62,2,1,1,1,1,1,1,1,2
63,-7,-6,-6,-6,-6,-6,-6,-6,-7
64,-2,-2,-2,-2,-2,-2,-2,-2,-3
65,-1,-1,-1,-1,-1,-1,-1,-1,0
66,1,1,1,1,1,1,1,1,1
67,5,5,5,5,5,5,5,5,5
68,-2,-3,-3,-3,-3,-3,-3,-3,5
69,-2,-1,-1,-1,-1,-1,-1,-1,-10
70,0,0,0,0,0,0,0,0,0
71,8,8,8,8,8,8,8,8,11
72,0,0,0,0,0,0,0,0,0
73,-2,-2,-2,-2,-2,-2,-2,-2,0
74,-7,-7,-7,-7,-7,-7,-7,-7,-12
75,-1,-1,-1,-1,-1,-1,-1,-1,0
76,0,0,0,0,0,0,0,0,2
77,2,2,2,2,2,2,2,2,3
78,0,0,0,0,0,0,0,0,-3
79,-2,-2,-2,-2,-2,-2,-2,-2,-1
80,2,2,2,2,2,2,2,2,2
81,-2,-2,-2,-2,-2,-2,-2,-2,-1
82,0,0,0,0,0,0,0,0,-2
83,1,1,1,1,1,1,1,1,0
84,-1,-1,-1,-1,-1,-1,-1,-1,1
85,3,3,3,3,3,3,3,3,1
86,-1,-2,-2,-2,-2,-2,-2,-2,0
87,-1,0,0,0,0,0,0,0,-2
88,2,2,2,2,2,2,2,2,2
89,-2,-2,-2,-2,-2,-2,-2,-2,0
90,1,1,1,1,1,1,1,1,0
